experiment,best_epoch,train_loss_at_best,val_loss_at_best,loss_gap_at_best,train_accuracy_at_best,val_accuracy_at_best,accuracy_gap_at_best,val_f1,global_grad_at_best,fc1_grad_at_best,fc2_grad_at_best,output_grad_at_best,learning_rate_at_best
C01 - ReLU / Default,141,0.001531190083374519,0.051681716621185286,0.05015052653781077,1.0,0.9826086956521739,0.017391304347826098,0.9861111111111112,0.04504792497827946,0.0406675748869448,0.011485408217755748,0.005377401659429511,0.001
C06 - ReLU / Scheduler,127,0.0024949048036185667,0.051710472277203656,0.04921556747358509,1.0,0.9826086956521739,0.017391304347826098,0.9861111111111112,0.07879444852054396,0.07134745598715894,0.020181527874870774,0.009580567592124948,0.001
C02 - Tanh / Default,199,0.0051051577721380765,0.03350566368064155,0.028400505908503473,1.0,0.9826086956521739,0.017391304347826098,0.9859154929577465,0.10446248910427745,0.09161660386085071,0.03754094452597201,0.01771015805699041,0.001
C05 - ReLU / Dropout 0.2,106,0.02167561695021291,0.06151885991592122,0.03984324296570831,0.9925512104283054,0.9652173913043478,0.027333819123957603,0.9722222222222222,0.26742410600297023,0.24043140187859535,0.07455646953381159,0.028607738396043286,0.001
C03 - ReLU / He,22,0.061430802270492586,0.10258454596218855,0.041153743691695964,0.9720670391061452,0.9565217391304348,0.015545299975710414,0.965034965034965,0.30226164305344405,0.15470017952954068,0.16695787122144418,0.1862526905229863,0.001
C04 - ReLU / BatchNorm,43,0.05021674731950964,0.08254163673390513,0.03232488941439549,0.9702048417132216,0.9565217391304348,0.013683102582786821,0.9640287769784173,0.4424886969981882,0.300835297388189,0.31436995153917985,0.04704199588912375,0.001
